ranks,halo,grid,nx,ny,steps,repeat,block_x,block_y,pitch_align,wall_time_s,mlups,max_halo_overhead_percent,avg_halo_overhead_percent,max_other_time_s,avg_other_time_s,log
1,cuda,800x400,800,400,60000,1,64,4,32,5.33391,3599.61,0,0,0.0167101,0.0167101,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_cuda_nx800_ny400_s60000_rep1.log
2,cuda,800x400,800,400,60000,1,64,4,32,6.78093,2831.47,49.0619,48.8749,0.0444113,0.0399743,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_cuda_nx800_ny400_s60000_rep1.log
1,staged,800x400,800,400,60000,1,64,4,32,5.33797,3596.87,0,0,0.0168716,0.0168716,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_staged_nx800_ny400_s60000_rep1.log
2,staged,800x400,800,400,60000,1,64,4,32,6.52375,2943.09,46.6535,46.5951,0.0386005,0.0344555,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_staged_nx800_ny400_s60000_rep1.log
1,cuda,1500x750,1500,750,60000,1,64,4,32,14.3501,4703.81,0,0,0.0180513,0.0180513,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_cuda_nx1500_ny750_s60000_rep1.log
2,cuda,1500x750,1500,750,60000,1,64,4,32,11.4194,5910.97,30.0807,30.0334,0.0467892,0.0400831,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_cuda_nx1500_ny750_s60000_rep1.log
1,staged,1500x750,1500,750,60000,1,64,4,32,14.3503,4703.75,0,0,0.0176258,0.0176258,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_staged_nx1500_ny750_s60000_rep1.log
2,staged,1500x750,1500,750,60000,1,64,4,32,11.5309,5853.83,30.8315,30.734,0.0388225,0.0325655,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_staged_nx1500_ny750_s60000_rep1.log
1,cuda,1600x800,1600,800,60000,1,64,4,32,16.3207,4705.69,0,0,0.0197833,0.0197833,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_cuda_nx1600_ny800_s60000_rep1.log
2,cuda,1600x800,1600,800,60000,1,64,4,32,12.3086,6239.53,28.0998,27.9933,0.043476,0.0386815,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_cuda_nx1600_ny800_s60000_rep1.log
1,staged,1600x800,1600,800,60000,1,64,4,32,16.3229,4705.06,0,0,0.0194712,0.0194712,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_staged_nx1600_ny800_s60000_rep1.log
2,staged,1600x800,1600,800,60000,1,64,4,32,12.5219,6133.26,29.249,29.1388,0.0382145,0.0342103,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_staged_nx1600_ny800_s60000_rep1.log
1,cuda,3200x1600,3200,1600,60000,1,64,4,32,59.0487,5202.49,0,0,0.0199554,0.0199554,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_cuda_nx3200_ny1600_s60000_rep1.log
2,cuda,3200x1600,3200,1600,60000,1,64,4,32,33.9015,9061.55,11.2297,11.1555,0.0461194,0.038324,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_cuda_nx3200_ny1600_s60000_rep1.log
1,staged,3200x1600,3200,1600,60000,1,64,4,32,59.0517,5202.22,0,0,0.0201922,0.0201922,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_staged_nx3200_ny1600_s60000_rep1.log
2,staged,3200x1600,3200,1600,60000,1,64,4,32,34.063,9018.58,11.5666,11.4934,0.0429657,0.0357847,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_staged_nx3200_ny1600_s60000_rep1.log
1,cuda,6400x3200,6400,3200,60000,1,64,4,32,233.727,5257.41,0,0,0.020825,0.020825,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_cuda_nx6400_ny3200_s60000_rep1.log
2,cuda,6400x3200,6400,3200,60000,1,64,4,32,121.21,10137.8,3.53399,3.52211,0.0493617,0.043019,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_cuda_nx6400_ny3200_s60000_rep1.log
1,staged,6400x3200,6400,3200,60000,1,64,4,32,233.73,5257.35,0,0,0.0219355,0.0219355,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r1_staged_nx6400_ny3200_s60000_rep1.log
2,staged,6400x3200,6400,3200,60000,1,64,4,32,122.363,10042.3,4.38555,4.37773,0.0419723,0.0377734,/home/hlin/hybrid_fixed_v2/scaling/logs/hybrid_r2_staged_nx6400_ny3200_s60000_rep1.log
